date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Dec%202015%2015:19:17%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/grabbing.png	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/grabbing.png	(from http://www.xpertpoin8.com/demo/restaurant/css/owl.carousel.css)
16:19:21	61232/61232	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Dec%202015%2015:19:18%20GMT	http://xpertpoin8.com/demo/restaurant/css/grabbing.png	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/xpertpoin8.com/demo/restaurant/css/grabbing.3e.delayed	(from http://www.xpertpoin8.com/demo/restaurant/css/owl.carousel.css)
16:19:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Dec%202015%2015:19:21%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/AjaxLoader.gif	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/AjaxLoader.gif	(from http://www.xpertpoin8.com/demo/restaurant/css/owl.theme.css)
16:19:24	141564/141564	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2027%20Jun%202015%2005:47:31%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/fonts/fontawesome-webfont862f.ttf	(from http://www.xpertpoin8.com/demo/restaurant/css/font-awesome.min.css)
16:19:25	61232/61232	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Dec%202015%2015:19:22%20GMT	http://xpertpoin8.com/demo/restaurant/css/AjaxLoader.gif	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/xpertpoin8.com/demo/restaurant/css/AjaxLoader.gif	(from http://www.xpertpoin8.com/demo/restaurant/css/owl.theme.css)
16:19:28	12392/12392	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2027%20Jun%202015%2005:47:59%20GMT	http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.eot	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/icons/flaticon.eot	(from http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.css)
16:19:30	8148/8148	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2027%20Jun%202015%2005:48:15%20GMT	http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.woff	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/icons/flaticon.woff	(from http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.css)
16:19:32	12224/12224	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2027%20Jun%202015%2005:48:13%20GMT	http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.ttf	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/icons/flaticon.ttf	(from http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.css)
16:19:35	147632/147632	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jun%202015%2005:48:10%20GMT	http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.svg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/icons/flaticon.svg	(from http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.css)
16:19:40	82648/82648	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:42:09%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/1.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/1.jpg	(from http://www.xpertpoin8.com/demo/restaurant/css/style.css)
16:19:54	1149868/1149868	---M--	200	added ('OK')	video/webm	date:Sat,%2027%20Jun%202015%2005:46:14%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/video/glorias-fajitas.webm	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/video/glorias-fajitas.webm	(from http://www.xpertpoin8.com/demo/restaurant/)
